Time (s),Frequency (Hz)
0.09756,0.004
0.09776,0.004
0.09796,0.004
0.09816,0.004
0.09836,0.004
0.09856,0.004
0.09876,0.004
0.09896,0.004
0.09916,0.004
0.09936,0.004
0.09956,0.004
0.09976,0.004
0.09996,0.004
0.10016,0.004
0.10036,0.004
0.10056,0.004
0.10076,0.004
0.10096,0.004
0.10116,0.004
0.10136,0.004
0.10156,0.004
0.10172,0.004
0.10192,0.004
0.10212,0.004
0.10232,0.004
0.10252,0.00192
0.10272,0.00192
0.10292,0.00196
0.10312,0.002
0.10332,0.002
0.10352,0.00204
0.10368,0.00304
0.10388,0.00304
0.10408,0.00304
0.10428,0.00308
0.10448,0.00312
0.10468,0.0032
0.10488,0.00324
0.10508,0.00328
0.10528,0.00332
0.10548,0.0034
0.10568,0.00344
0.10588,0.00352
0.10608,0.00356
0.10628,0.00364
0.10636,4e-05
0.10648,0.00372
0.10668,0.00384
0.10688,0.00396
0.10708,0.004
0.10728,0.004
0.10744,0.00288
0.10764,0.00304
0.10784,0.0032
0.10796,4e-05
0.10804,0.00344
0.10824,0.0038
0.10844,0.004
0.10864,0.004
0.10876,4e-05
0.10884,0.004
0.10904,0.004
0.10924,0.004
0.10944,0.004
0.10956,4e-05
0.10964,0.004
0.10984,0.004
0.11004,0.004
0.11024,0.004
0.11044,0.004
0.11064,0.004
0.11084,0.004
0.11104,0.004
0.11124,0.004
0.11136,8e-05
0.11144,0.004
0.11164,0.004
0.11184,0.004
0.11204,0.004
0.11224,0.004
0.11244,0.004
0.11264,0.004
0.11284,0.004
0.11304,0.004
0.11324,0.004
0.11344,0.004
0.11364,0.004
0.11384,0.004
0.11404,0.004
0.11412,0.00092
0.11424,0.004
0.11432,0.00076
0.11444,0.004
0.11452,0.00064
0.11464,0.004
0.11484,0.004
0.11504,0.004
0.11524,0.004
0.11544,0.004
0.11564,0.004
0.11584,0.00196
0.11604,0.00176
0.11624,0.0016
0.11644,0.00148
0.11664,0.00144
0.1168,0.00196
0.117,0.00176
0.1172,0.00164
0.1174,0.00152
0.1176,0.00144
0.1178,0.0014
0.118,0.00132
0.1182,0.00124
0.1184,0.00116
0.1186,0.00108
0.11876,0.00108
0.11896,0.00104
0.11904,0.004
0.11916,0.00096
0.11924,0.004
0.11936,0.00088
0.11944,0.004
0.11952,0.00108
0.11964,0.00384
0.11972,0.001
0.11992,0.00096
0.12008,0.00144
0.12028,0.00128
0.12048,0.0012
0.12068,0.00112
0.12088,0.00104
0.12108,0.00104
0.12128,0.001
0.12144,0.00104
0.12164,0.001
0.12184,0.00096
0.12204,0.00092
0.12224,0.00088
0.1224,0.00076
0.1226,0.00076
0.12268,0.00288
0.1228,0.00072
0.12288,0.00296
0.12296,0.00088
0.12316,0.00088
0.12336,0.00088
0.12356,0.00084
0.12372,0.00104
0.12392,0.001
0.12412,0.00096
0.12432,0.00092
0.12452,0.00092
0.12472,0.00092
0.12488,0.0008
0.12508,0.0008
0.12528,0.00076
0.12548,0.00072
0.12564,0.00072
0.12584,0.00072
0.12592,0.00368
0.12604,0.00076
0.1262,0.00088
0.1264,0.00088
0.1266,0.00088
0.12668,0.004
0.1268,0.00088
0.12688,0.004
0.127,0.00092
0.12708,0.004
0.12716,0.00084
0.12728,0.004
0.12736,0.00088
0.12748,0.004
0.12756,0.00088
0.12768,0.004
0.12776,0.00092
0.12788,0.004
0.12812,0.00088
0.12832,0.00092
0.12848,0.004
0.12868,0.00092
0.12888,0.00096
0.12908,0.00104
0.12928,0.00108
0.12948,0.0012
0.12968,0.00136
0.12988,0.00156
0.13008,0.00188
0.13028,0.004
0.13048,0.004
0.13068,0.004
0.13088,0.004
0.13108,0.004
0.13124,0.00296
0.13144,0.00304
0.13164,0.00324
0.13184,0.00352
0.13204,0.00384
0.13224,0.004
0.13244,0.004
0.13264,0.004
0.13284,0.004
0.13304,0.004
0.13324,0.004
0.13344,0.004
0.13364,0.004
0.13384,0.004
0.13396,4e-05
0.13404,0.004
0.13424,0.004
0.13444,0.004
0.13464,0.004
0.13484,0.004
0.13504,0.004
0.13524,0.004
0.13544,0.004
0.13564,0.004
0.13584,0.004
0.13604,0.004
0.13624,0.004
0.13644,0.004
0.13664,0.004
0.13684,0.004
0.13704,0.004
0.13724,0.004
0.13744,0.004
0.13764,0.004
0.13784,0.004
0.13804,0.004
0.13824,0.004
0.13844,0.004
0.13864,0.004
0.13884,0.004
0.13904,0.004
0.13924,0.00232
0.13944,0.00216
0.13964,0.002
0.13984,0.0018
0.14004,0.0016
